code,locale,title,has_image,has_desc,has_prices,issues
42,fr,Tour – 42 – fr,true,true,true,legacy_title_format
42,de,Tour – 42 – de,true,true,true,legacy_title_format
42,es,Tour – 42 – es,true,true,true,legacy_title_format
42,it,Tour – 42 – it,true,true,true,legacy_title_format
43,en,Tour – 43 – en,true,true,true,legacy_title_format|contains_no_image
43,fr,Tour – 43 – fr,true,true,true,legacy_title_format
43,de,Tour – 43 – de,true,true,true,legacy_title_format
43,es,Tour – 43 – es,true,true,true,legacy_title_format
43,it,Tour – 43 – it,true,true,true,legacy_title_format
46,en,Tour – 46 – en,true,true,true,legacy_title_format|contains_no_image
46,fr,Tour – 46 – fr,true,true,true,legacy_title_format
46,de,Tour – 46 – de,true,true,true,legacy_title_format
46,es,Tour – 46 – es,true,true,true,legacy_title_format
46,it,Tour – 46 – it,true,true,true,legacy_title_format
50,en,Tour – 50 – en,true,true,true,legacy_title_format|contains_no_image
50,fr,Tour – 50 – fr,true,true,true,legacy_title_format
50,de,Tour – 50 – de,true,true,true,legacy_title_format
50,es,Tour – 50 – es,true,true,true,legacy_title_format
50,it,Tour – 50 – it,true,true,true,legacy_title_format
53,en,Tour – 53 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
53,fr,Tour – 53 – fr,true,true,false,missing_prices_table|legacy_title_format
53,de,Tour – 53 – de,true,true,false,missing_prices_table|legacy_title_format
53,es,Tour – 53 – es,true,true,false,missing_prices_table|legacy_title_format
53,it,Tour – 53 – it,true,true,false,missing_prices_table|legacy_title_format
54,en,Tour – 54 – en,true,true,true,legacy_title_format|contains_no_image
54,fr,Tour – 54 – fr,true,true,true,legacy_title_format
54,de,Tour – 54 – de,true,true,true,legacy_title_format
54,es,Tour – 54 – es,true,true,true,legacy_title_format
54,it,Tour – 54 – it,true,true,true,legacy_title_format
55,en,Tour – 55 – en,true,true,true,legacy_title_format|contains_no_image
55,fr,Tour – 55 – fr,true,true,true,legacy_title_format
55,de,Tour – 55 – de,true,true,true,legacy_title_format
55,es,Tour – 55 – es,true,true,true,legacy_title_format
55,it,Tour – 55 – it,true,true,true,legacy_title_format
58,en,Tour – 58 – en,true,true,true,legacy_title_format|contains_no_image
58,fr,Tour – 58 – fr,true,true,true,legacy_title_format
58,de,Tour – 58 – de,true,true,true,legacy_title_format
58,es,Tour – 58 – es,true,true,true,legacy_title_format
58,it,Tour – 58 – it,true,true,true,legacy_title_format
66,en,Tour – 66 – en,true,true,true,legacy_title_format|contains_no_image
66,fr,Tour – 66 – fr,true,true,true,legacy_title_format
66,de,Tour – 66 – de,true,true,true,legacy_title_format
66,es,Tour – 66 – es,true,true,true,legacy_title_format
66,it,Tour – 66 – it,true,true,true,legacy_title_format
67,en,Tour – 67 – en,true,true,true,legacy_title_format|contains_no_image
67,fr,Tour – 67 – fr,true,true,true,legacy_title_format
67,de,Tour – 67 – de,true,true,true,legacy_title_format
67,es,Tour – 67 – es,true,true,true,legacy_title_format
67,it,Tour – 67 – it,true,true,true,legacy_title_format
69,en,Tour – 69 – en,true,true,true,legacy_title_format|contains_no_image
69,fr,Tour – 69 – fr,true,true,true,legacy_title_format
69,de,Tour – 69 – de,true,true,true,legacy_title_format
69,es,Tour – 69 – es,true,true,true,legacy_title_format
69,it,Tour – 69 – it,true,true,true,legacy_title_format
70,en,Tour – 70 – en,true,true,true,legacy_title_format|contains_no_image
70,fr,Tour – 70 – fr,true,true,true,legacy_title_format
70,de,Tour – 70 – de,true,true,true,legacy_title_format
70,es,Tour – 70 – es,true,true,true,legacy_title_format
70,it,Tour – 70 – it,true,true,true,legacy_title_format
72,en,Tour – 72 – en,true,true,true,legacy_title_format|contains_no_image
72,fr,Tour – 72 – fr,true,true,true,legacy_title_format
72,de,Tour – 72 – de,true,true,true,legacy_title_format
72,es,Tour – 72 – es,true,true,true,legacy_title_format
72,it,Tour – 72 – it,true,true,true,legacy_title_format
74,en,Tour – 74 – en,true,true,true,legacy_title_format|contains_no_image
74,fr,Tour – 74 – fr,true,true,true,legacy_title_format
74,de,Tour – 74 – de,true,true,true,legacy_title_format
74,es,Tour – 74 – es,true,true,true,legacy_title_format
74,it,Tour – 74 – it,true,true,true,legacy_title_format
78,en,Tour – 78 – en,true,true,true,legacy_title_format|contains_no_image
78,fr,Tour – 78 – fr,true,true,true,legacy_title_format
78,de,Tour – 78 – de,true,true,true,legacy_title_format
78,es,Tour – 78 – es,true,true,true,legacy_title_format
78,it,Tour – 78 – it,true,true,true,legacy_title_format
90,en,Tour – 90 – en,true,true,true,legacy_title_format|contains_no_image
90,fr,Tour – 90 – fr,true,true,true,legacy_title_format
90,de,Tour – 90 – de,true,true,true,legacy_title_format
90,es,Tour – 90 – es,true,true,true,legacy_title_format
90,it,Tour – 90 – it,true,true,true,legacy_title_format
92,en,Tour – 92 – en,true,true,true,legacy_title_format|contains_no_image
92,fr,Tour – 92 – fr,true,true,true,legacy_title_format
92,de,Tour – 92 – de,true,true,true,legacy_title_format
92,es,Tour – 92 – es,true,true,true,legacy_title_format
92,it,Tour – 92 – it,true,true,true,legacy_title_format
97,en,Tour – 97 – en,true,true,true,legacy_title_format|contains_no_image
97,fr,Tour – 97 – fr,true,true,true,legacy_title_format
97,de,Tour – 97 – de,true,true,true,legacy_title_format
97,es,Tour – 97 – es,true,true,true,legacy_title_format
97,it,Tour – 97 – it,true,true,true,legacy_title_format
98,en,Tour – 98 – en,true,true,true,legacy_title_format|contains_no_image
98,fr,Tour – 98 – fr,true,true,true,legacy_title_format
98,de,Tour – 98 – de,true,true,true,legacy_title_format
98,es,Tour – 98 – es,true,true,true,legacy_title_format
98,it,Tour – 98 – it,true,true,true,legacy_title_format
101,en,Tour – 101 – en,true,true,true,legacy_title_format|contains_no_image
101,fr,Tour – 101 – fr,true,true,true,legacy_title_format
101,de,Tour – 101 – de,true,true,true,legacy_title_format
101,es,Tour – 101 – es,true,true,true,legacy_title_format
101,it,Tour – 101 – it,true,true,true,legacy_title_format
102,en,Tour – 102 – en,true,true,true,legacy_title_format|contains_no_image
102,fr,Tour – 102 – fr,true,true,true,legacy_title_format
102,de,Tour – 102 – de,true,true,true,legacy_title_format
102,es,Tour – 102 – es,true,true,true,legacy_title_format
102,it,Tour – 102 – it,true,true,true,legacy_title_format
103,en,Tour – 103 – en,true,true,true,legacy_title_format|contains_no_image
103,fr,Tour – 103 – fr,true,true,true,legacy_title_format
103,de,Tour – 103 – de,true,true,true,legacy_title_format
103,es,Tour – 103 – es,true,true,true,legacy_title_format
103,it,Tour – 103 – it,true,true,true,legacy_title_format
111,en,Tour – 111 – en,true,true,true,legacy_title_format|contains_no_image
111,fr,Tour – 111 – fr,true,true,true,legacy_title_format
111,de,Tour – 111 – de,true,true,true,legacy_title_format
111,es,Tour – 111 – es,true,true,true,legacy_title_format
111,it,Tour – 111 – it,true,true,true,legacy_title_format
113,en,Tour – 113 – en,true,true,true,legacy_title_format|contains_no_image
113,fr,Tour – 113 – fr,true,true,true,legacy_title_format
113,de,Tour – 113 – de,true,true,true,legacy_title_format
113,es,Tour – 113 – es,true,true,true,legacy_title_format
113,it,Tour – 113 – it,true,true,true,legacy_title_format
115,en,Tour – 115 – en,true,true,true,legacy_title_format|contains_no_image
115,fr,Tour – 115 – fr,true,true,true,legacy_title_format
115,de,Tour – 115 – de,true,true,true,legacy_title_format
115,es,Tour – 115 – es,true,true,true,legacy_title_format
115,it,Tour – 115 – it,true,true,true,legacy_title_format
116,en,Tour – 116 – en,true,true,true,legacy_title_format|contains_no_image
116,fr,Tour – 116 – fr,true,true,true,legacy_title_format
116,de,Tour – 116 – de,true,true,true,legacy_title_format
116,es,Tour – 116 – es,true,true,true,legacy_title_format
116,it,Tour – 116 – it,true,true,true,legacy_title_format
127,en,Tour – 127 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
127,fr,Tour – 127 – fr,true,true,false,missing_prices_table|legacy_title_format
127,de,Tour – 127 – de,true,true,false,missing_prices_table|legacy_title_format
127,es,Tour – 127 – es,true,true,false,missing_prices_table|legacy_title_format
127,it,Tour – 127 – it,true,true,false,missing_prices_table|legacy_title_format
131,en,Tour – 131 – en,true,true,true,legacy_title_format|contains_no_image
131,fr,Tour – 131 – fr,true,true,true,legacy_title_format
131,de,Tour – 131 – de,true,true,true,legacy_title_format
131,es,Tour – 131 – es,true,true,true,legacy_title_format
131,it,Tour – 131 – it,true,true,true,legacy_title_format
134,en,Tour – 134 – en,true,true,true,legacy_title_format|contains_no_image
134,fr,Tour – 134 – fr,true,true,true,legacy_title_format
134,de,Tour – 134 – de,true,true,true,legacy_title_format
134,es,Tour – 134 – es,true,true,true,legacy_title_format
134,it,Tour – 134 – it,true,true,true,legacy_title_format
137,en,Tour – 137 – en,true,true,true,legacy_title_format|contains_no_image
137,fr,Tour – 137 – fr,true,true,true,legacy_title_format
137,de,Tour – 137 – de,true,true,true,legacy_title_format
137,es,Tour – 137 – es,true,true,true,legacy_title_format
137,it,Tour – 137 – it,true,true,true,legacy_title_format
139,en,Tour – 139 – en,true,true,true,legacy_title_format|contains_no_image
139,fr,Tour – 139 – fr,true,true,true,legacy_title_format
139,de,Tour – 139 – de,true,true,true,legacy_title_format
139,es,Tour – 139 – es,true,true,true,legacy_title_format
139,it,Tour – 139 – it,true,true,true,legacy_title_format
140,en,Tour – 140 – en,true,true,true,legacy_title_format|contains_no_image
140,fr,Tour – 140 – fr,true,true,true,legacy_title_format
140,de,Tour – 140 – de,true,true,true,legacy_title_format
140,es,Tour – 140 – es,true,true,true,legacy_title_format
